label,pred,prob,latency_us,sram_bytes,correct
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,28,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,44,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,32,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,44,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,44,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,32,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,44,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,44,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,32,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,40,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,40,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,28,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,40,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,28,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,28,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,44,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,44,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,28,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,44,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
ATTACK,1,1,36,7182,1
NORMAL,0,0,36,7182,1
ATTACK,1,1,32,7182,1
NORMAL,0,0,40,7182,1
